time	V(n001)	V(n002)	V(n003)
3.100450030122920e-003	6.000831e-001	1.158247e+000	4.928494e-001
3.119981280122919e-003	7.855646e-001	1.155707e+000	4.921678e-001
3.149278155122919e-003	1.076779e+000	1.151941e+000	4.911125e-001
3.178575030122918e-003	1.361451e+000	1.148225e+000	4.900226e-001
3.188340655122918e-003	1.450638e+000	1.146996e+000	4.896524e-001
3.198106280122918e-003	1.535531e+000	1.145772e+000	4.892791e-001
3.207871905122917e-003	1.615321e+000	1.144552e+000	4.889028e-001
3.217637530122917e-003	1.689247e+000	1.143340e+000	4.885236e-001
3.227403155122917e-003	1.756605e+000	1.142164e+000	4.881418e-001
3.237168780122917e-003	1.816753e+000	1.141251e+000	4.877579e-001
3.246934405122917e-003	1.869119e+000	1.141709e+000	4.873751e-001
3.256700030122916e-003	1.913202e+000	1.146328e+000	4.870058e-001
3.266465655122916e-003	1.948583e+000	1.157987e+000	4.866906e-001
3.276231280122916e-003	1.974926e+000	1.175816e+000	4.865279e-001
3.285996905122916e-003	1.991977e+000	1.194875e+000	4.866872e-001
3.295762530122915e-003	1.999577e+000	1.210370e+000	4.873404e-001
3.305528155122915e-003	1.997651e+000	1.220375e+000	4.885232e-001
3.315293780122915e-003	1.986218e+000	1.225223e+000	4.900689e-001
3.325059405122915e-003	1.965388e+000	1.226249e+000	4.917050e-001
3.334825030122915e-003	1.935358e+000	1.224998e+000	4.932131e-001
3.344590655122914e-003	1.896415e+000	1.222727e+000	4.944974e-001
3.354356280122914e-003	1.848929e+000	1.220185e+000	4.955541e-001
3.364121905122914e-003	1.793355e+000	1.217688e+000	4.964159e-001
3.373887530122914e-003	1.730220e+000	1.215318e+000	4.971190e-001
3.383653155122914e-003	1.660127e+000	1.213073e+000	4.976933e-001
3.393418780122913e-003	1.583743e+000	1.210935e+000	4.981613e-001
3.403184405122913e-003	1.501797e+000	1.208888e+000	4.985403e-001
3.412950030122913e-003	1.415069e+000	1.206918e+000	4.988437e-001
3.422715655122913e-003	1.324386e+000	1.205015e+000	4.990821e-001
3.432481280122913e-003	1.230612e+000	1.203170e+000	4.992642e-001
3.442246905122912e-003	1.134640e+000	1.201375e+000	4.993967e-001
3.452012530122912e-003	1.037385e+000	1.199626e+000	4.994856e-001
3.461778155122912e-003	9.397741e-001	1.197918e+000	4.995357e-001
3.471543780122912e-003	8.427370e-001	1.196245e+000	4.995511e-001
3.481309405122912e-003	7.471983e-001	1.194606e+000	4.995353e-001
3.491075030122911e-003	6.540688e-001	1.192996e+000	4.994914e-001
3.500840655122911e-003	5.642356e-001	1.191414e+000	4.994218e-001
3.510606280122911e-003	4.785549e-001	1.189856e+000	4.993289e-001
3.520371905122911e-003	3.978432e-001	1.188322e+000	4.992147e-001
3.530137530122910e-003	3.228695e-001	1.186808e+000	4.990810e-001
3.539903155122910e-003	2.543483e-001	1.185314e+000	4.989293e-001
3.549668780122910e-003	1.929325e-001	1.183839e+000	4.987610e-001
3.559434405122910e-003	1.392074e-001	1.182380e+000	4.985773e-001
3.569200030122910e-003	9.368499e-002	1.180937e+000	4.983794e-001
3.578965655122909e-003	5.679896e-002	1.179509e+000	4.981683e-001
3.588731280122909e-003	2.890086e-002	1.178095e+000	4.979449e-001
3.598496905122909e-003	1.025652e-002	1.176694e+000	4.977100e-001
3.608262530122909e-003	1.043616e-003	1.175305e+000	4.974644e-001
3.618028155122909e-003	1.349931e-003	1.173928e+000	4.972087e-001
3.627793780122908e-003	1.117255e-002	1.172562e+000	4.969436e-001
3.637559405122908e-003	3.041787e-002	1.171206e+000	4.966696e-001
3.647325030122908e-003	5.890249e-002	1.169861e+000	4.963874e-001
3.657090655122908e-003	9.635500e-002	1.168524e+000	4.960973e-001
3.666856280122908e-003	1.424185e-001	1.167197e+000	4.957999e-001
3.676621905122907e-003	1.966540e-001	1.165878e+000	4.954955e-001
3.686387530122907e-003	2.585447e-001	1.164567e+000	4.951846e-001
3.696153155122907e-003	3.275009e-001	1.163265e+000	4.948675e-001
3.705918780122907e-003	4.028655e-001	1.161969e+000	4.945445e-001
3.715684405122907e-003	4.839202e-001	1.160681e+000	4.942159e-001
3.725450030122906e-003	5.698928e-001	1.159399e+000	4.938821e-001
3.744981280122906e-003	7.532753e-001	1.156855e+000	4.931998e-001
3.774278155122905e-003	1.043656e+000	1.153085e+000	4.921432e-001
3.803575030122905e-003	1.330316e+000	1.149364e+000	4.910517e-001
3.813340655122904e-003	1.420771e+000	1.148133e+000	4.906811e-001
3.823106280122904e-003	1.507216e+000	1.146907e+000	4.903072e-001
3.832871905122904e-003	1.588827e+000	1.145686e+000	4.899303e-001
